,Species,Continent_of_Origin,Country_of_Origin,Harvest_Year,Expiration,Variety,Color,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Moisture,Quakers,Category_One_Defects,Category_Two_Defects
232,Arabica,South America,Colombia,2017-01-01,2018-11-09,Caturra,Green,Washed / Wet,7.83,7.5,7.42,7.5,7.83,8.5,10.0,10.0,10.0,0.0,3,1,3
233,Arabica,Asia,Taiwan,2016-01-01,2017-05-18,Typica,Bluish-Green,Washed / Wet,7.58,7.67,7.67,7.67,7.75,7.83,10.0,10.0,10.0,0.1,0,0,4
234,Arabica,North America,Guatemala,2016-01-01,2017-04-27,Bourbon,Green,Washed / Wet,8.0,7.75,7.5,7.58,7.92,7.67,10.0,10.0,10.0,0.1,0,0,4
236,Arabica,North America,Guatemala,2014-01-01,2015-06-16,Bourbon,Bluish-Green,Washed / Wet,7.58,7.75,7.67,8.0,7.75,7.67,10.0,10.0,10.0,0.1,0,0,10
237,Arabica,North America,United States,2012-01-01,2014-01-24,Hawaiian Kona,Green,Natural / Dry,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10.0,10.0,0.11,0,1,9
238,Arabica,North America,Mexico,2012-01-01,2013-09-04,Typica,Green,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.75,10.0,10.0,10.0,0.11,0,1,10
241,Arabica,Africa,Ethiopia,2017-01-01,2018-06-05,Gesha,Green,Natural / Dry,7.83,7.75,7.67,7.75,7.33,7.75,10.0,10.0,10.0,0.11,11,3,1
242,Arabica,North America,Honduras,2017-01-01,2018-05-11,Caturra,Green,Washed / Wet,7.42,7.83,7.75,7.92,7.75,7.58,10.0,10.0,10.0,0.1,0,0,5
243,Arabica,North America,Guatemala,2015-01-01,2016-06-09,Caturra,Green,Washed / Wet,7.67,7.83,7.58,7.92,7.75,7.67,10.0,10.0,10.0,0.12,0,0,7
244,Arabica,South America,Colombia,2014-01-01,2015-12-18,Other,Green,Washed / Wet,7.67,7.67,7.83,7.58,7.58,7.83,10.0,10.0,10.0,0.11,0,2,7
245,Arabica,North America,Guatemala,2014-01-01,2015-08-08,Bourbon,Green,Natural / Dry,7.92,7.67,7.42,7.92,7.75,7.83,10.0,10.0,10.0,0.1,0,0,1
246,Arabica,North America,Guatemala,2014-01-01,2015-06-27,Bourbon,Green,Other,7.75,7.83,7.5,7.83,7.58,7.67,10.0,10.0,10.0,0.1,0,0,0
248,Arabica,South America,Colombia,2014-01-01,2015-05-27,Caturra,Green,Natural / Dry,7.58,7.42,7.75,7.92,7.75,7.92,10.0,10.0,10.0,0.12,0,0,0
249,Arabica,South America,Colombia,2014-01-01,2015-04-08,Caturra,Green,Washed / Wet,7.67,7.67,7.5,7.5,7.67,7.67,10.0,10.0,10.0,0.12,0,0,3
250,Arabica,Africa,Ethiopia,2013-01-01,2015-01-17,Other,Green,Natural / Dry,7.75,7.75,7.5,7.58,7.67,7.92,10.0,10.0,10.0,0.09,0,4,40
251,Arabica,South America,Brazil,2013-01-01,2015-01-02,Yellow Bourbon,Green,Natural / Dry,7.58,7.83,7.67,7.25,8.0,7.75,10.0,10.0,10.0,0.1,0,0,0
252,Arabica,South America,Colombia,2013-01-01,2014-06-21,Caturra,Green,Washed / Wet,7.67,7.83,7.67,7.75,7.67,7.75,10.0,10.0,10.0,0.11,0,0,1
253,Arabica,Africa,Kenya,2012-01-01,2014-03-08,SL34,Green,Washed / Wet,7.67,7.83,7.5,7.75,7.92,7.67,10.0,10.0,10.0,0.0,0,0,2
254,Arabica,Asia,Thailand,2012-01-01,2013-06-21,Other,Green,Washed / Wet,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,0.12,0,0,0
255,Arabica,Africa,Kenya,2012-01-01,2013-05-31,SL28,Bluish-Green,Washed / Wet,7.67,7.75,7.67,7.75,7.83,7.67,10.0,10.0,10.0,0.0,0,0,0
256,Arabica,Africa,Uganda,2012-01-01,2013-02-12,Other,Green,Washed / Wet,7.92,7.75,7.58,7.67,7.67,7.83,10.0,10.0,10.0,0.1,0,10,26
258,Arabica,South America,Brazil,2017-01-01,2018-10-20,Bourbon,Green,Natural / Dry,7.5,7.75,7.58,7.5,7.58,7.5,10.0,10.0,10.0,0.0,0,0,3
259,Arabica,North America,Mexico,2017-01-01,2018-07-03,Mundo Novo,Green,Washed / Wet,7.83,7.83,7.58,7.92,7.42,7.5,10.0,10.0,10.0,0.11,0,0,5
260,Arabica,Asia,Thailand,2015-01-01,2017-10-18,Catimor,Bluish-Green,Natural / Dry,7.67,7.75,7.5,7.67,7.67,7.83,10.0,10.0,10.0,0.1,0,0,1
261,Arabica,South America,Brazil,2016-01-01,2017-08-16,Bourbon,Green,Natural / Dry,7.58,7.67,7.67,7.75,7.58,7.83,10.0,10.0,10.0,0.11,2,0,7
262,Arabica,Asia,Taiwan,2015-01-01,2017-05-18,Typica,Green,Washed / Wet,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10.0,10.0,0.11,0,0,3
268,Arabica,South America,Colombia,2014-01-01,2015-12-12,Caturra,Green,Washed / Wet,7.75,7.58,7.67,7.83,7.83,7.67,10.0,10.0,10.0,0.0,0,0,1
269,Arabica,Asia,Taiwan,2014-01-01,2015-11-23,Typica,Green,Washed / Wet,8.0,7.92,7.92,7.92,7.67,7.33,10.0,10.0,10.0,0.06,0,0,0
270,Arabica,South America,Colombia,2014-01-01,2015-01-17,Caturra,Green,Natural / Dry,7.67,7.83,7.67,7.75,7.67,7.83,10.0,10.0,10.0,0.12,0,0,3
271,Arabica,North America,Mexico,2012-01-01,2013-07-03,Typica,Blue-Green,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,0.12,0,10,32
273,Arabica,North America,Mexico,2012-01-01,2013-04-02,Typica,Green,Washed / Wet,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10.0,10.0,0.0,0,0,2
274,Arabica,South America,Colombia,2017-01-01,2018-06-30,Caturra,Green,Washed / Wet,7.92,7.58,7.5,7.83,7.58,7.67,10.0,10.0,10.0,0.0,0,1,6
276,Arabica,North America,Costa Rica,2015-01-01,2017-06-06,Caturra,Blue-Green,Washed / Wet,7.67,7.67,7.75,7.67,7.5,7.75,10.0,10.0,10.0,0.0,0,0,0
277,Arabica,North America,Guatemala,2016-01-01,2017-05-23,Bourbon,Green,Washed / Wet,7.75,7.75,7.5,7.75,7.83,7.58,10.0,10.0,10.0,0.11,7,0,6
279,Arabica,South America,Brazil,2015-01-01,2016-10-07,Yellow Bourbon,Green,Natural / Dry,7.25,7.58,7.42,8.0,7.75,7.83,10.0,10.0,10.0,0.0,0,0,0
280,Arabica,Asia,Taiwan,2014-01-01,2016-04-29,Typica,Green,Washed / Wet,7.67,7.75,7.67,7.75,7.42,7.75,10.0,10.0,10.0,0.0,0,0,1
282,Arabica,South America,Brazil,2014-01-01,2015-10-16,Bourbon,Green,Semi-washed / Semi-pulped,7.67,7.67,7.58,7.5,7.83,8.17,10.0,10.0,9.33,0.0,0,0,1
283,Arabica,North America,Costa Rica,2013-01-01,2015-06-09,Catuai,Green,Washed / Wet,7.83,7.42,7.5,7.83,7.75,7.83,10.0,10.0,10.0,0.1,0,0,3
284,Arabica,North America,Guatemala,2014-01-01,2015-05-22,Bourbon,Green,Washed / Wet,7.58,7.83,7.33,8.0,7.58,7.75,10.0,10.0,10.0,0.1,0,0,1
285,Arabica,South America,Brazil,2013-01-01,2014-12-26,Yellow Bourbon,Green,Natural / Dry,7.92,7.5,7.33,7.67,8.17,7.5,10.0,10.0,10.0,0.1,0,0,0
287,Arabica,South America,Colombia,2013-01-01,2014-09-03,Caturra,Green,Washed / Wet,7.67,7.58,7.58,7.83,7.58,7.67,10.0,10.0,10.0,0.11,0,0,1
288,Arabica,North America,Guatemala,2013-01-01,2014-04-26,Bourbon,Green,Washed / Wet,7.5,7.83,7.5,7.83,7.83,7.67,10.0,10.0,10.0,0.11,0,0,3
289,Arabica,North America,Mexico,2012-01-01,2013-07-26,Bourbon,Green,Natural / Dry,7.67,8.0,7.67,7.42,7.67,7.5,10.0,10.0,10.0,0.1,0,0,2
291,Arabica,South America,Brazil,2011-01-01,2012-12-20,Yellow Bourbon,Green,Semi-washed / Semi-pulped,7.83,7.83,7.58,7.67,7.5,7.58,10.0,10.0,10.0,0.12,0,0,3
296,Arabica,South America,Brazil,2017-01-01,2018-10-20,Bourbon,Green,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,0.11,0,0,5
297,Arabica,South America,Colombia,2017-01-01,2018-09-28,Caturra,Green,Washed / Wet,7.83,7.83,7.58,7.58,7.58,7.58,10.0,10.0,10.0,0.11,0,0,1
298,Arabica,Asia,Taiwan,2016-01-01,2018-06-06,Typica,Green,Natural / Dry,7.67,7.67,7.58,7.58,7.67,7.83,10.0,10.0,10.0,0.0,0,0,0
300,Arabica,Asia,China,2015-01-01,2017-04-06,Catimor,Green,Washed / Wet,7.83,7.75,7.67,7.5,7.58,7.67,10.0,10.0,10.0,0.1,1,0,2
301,Arabica,South America,Colombia,2015-01-01,2016-11-26,Caturra,Green,Natural / Dry,7.75,7.67,7.5,7.67,7.58,7.83,10.0,10.0,10.0,0.0,0,0,0
302,Arabica,Africa,Uganda,2013-01-01,2015-06-30,Bourbon,Green,Natural / Dry,8.0,7.92,7.58,7.75,7.33,7.5,10.0,10.0,10.0,0.12,0,0,0
303,Arabica,North America,United States,2013-01-01,2015-06-09,Other,Green,Washed / Wet,7.83,7.83,7.83,7.67,8.0,8.17,9.33,9.33,10.0,0.12,0,0,1
304,Arabica,South America,Colombia,2014-01-01,2015-02-05,Caturra,Green,Washed / Wet,7.67,7.67,7.67,7.92,7.5,7.67,10.0,10.0,10.0,0.0,0,0,5
305,Arabica,South America,Colombia,2014-01-01,2015-01-24,Other,Green,Washed / Wet,7.67,7.42,7.42,7.42,8.0,8.33,10.0,10.0,10.0,0.0,0,0,3
306,Arabica,South America,Colombia,2013-01-01,2014-11-22,Caturra,Blue-Green,Washed / Wet,7.58,7.67,7.75,7.67,7.67,7.67,10.0,10.0,10.0,0.0,0,0,1
307,Arabica,South America,Colombia,2013-01-01,2014-08-27,Caturra,Green,Washed / Wet,7.75,7.67,7.75,7.58,7.42,8.0,10.0,10.0,10.0,0.11,0,0,3
308,Arabica,North America,United States,2013-01-01,2014-05-02,Hawaiian Kona,Bluish-Green,Natural / Dry,7.25,7.42,7.67,7.58,7.83,8.25,10.0,10.0,10.0,0.0,0,0,0
310,Arabica,North America,Guatemala,2012-01-01,2013-05-24,Caturra,Bluish-Green,Washed / Wet,7.67,7.58,7.58,7.67,7.75,7.75,10.0,10.0,10.0,0.11,0,0,1
314,Arabica,South America,Brazil,2017-01-01,2018-10-20,Bourbon,Green,Natural / Dry,7.67,7.83,7.5,7.67,7.67,7.5,10.0,10.0,10.0,0.11,0,0,2
315,Arabica,Africa,Kenya,2017-01-01,2018-09-01,SL28,Bluish-Green,Washed / Wet,8.08,7.67,7.67,7.58,7.25,7.67,10.0,10.0,10.0,0.11,0,0,0
316,Arabica,North America,Honduras,2016-01-01,2018-05-11,Caturra,Green,Washed / Wet,7.5,7.5,7.67,7.67,8.0,8.0,10.0,10.0,10.0,0.1,0,0,2
317,Arabica,North America,Nicaragua,2016-01-01,2018-05-11,Caturra,Green,Washed / Wet,7.67,7.75,7.67,7.67,7.83,7.58,10.0,10.0,10.0,0.1,0,0,3
318,Arabica,South America,Brazil,2016-01-01,2017-08-16,Bourbon,Green,Natural / Dry,7.58,7.75,7.58,7.75,7.58,7.58,10.0,10.0,10.0,0.11,2,0,3
319,Arabica,Asia,Taiwan,2015-01-01,2017-05-18,Caturra,Bluish-Green,Natural / Dry,7.5,7.67,7.33,7.92,7.83,7.67,10.0,10.0,10.0,0.1,0,0,0
323,Arabica,North America,Guatemala,2014-01-01,2015-02-27,Bourbon,Green,Washed / Wet,8.0,7.5,7.33,8.0,8.0,8.0,9.33,10.0,10.0,0.1,0,0,0
324,Arabica,South America,Colombia,2013-01-01,2014-10-29,Caturra,Green,Washed / Wet,7.83,7.75,7.67,7.58,7.58,7.67,10.0,10.0,10.0,0.0,0,0,3
325,Arabica,South America,Colombia,2013-01-01,2014-08-16,Caturra,Green,Washed / Wet,7.67,7.67,7.67,7.67,7.33,7.75,10.0,10.0,10.0,0.0,0,0,1
326,Arabica,North America,Guatemala,2013-01-01,2014-05-30,Bourbon,Green,Washed / Wet,7.67,7.67,7.42,7.67,8.0,7.75,10.0,10.0,10.0,0.12,0,1,3
327,Arabica,North America,Guatemala,2013-01-01,2014-02-26,Bourbon,Green,Washed / Wet,7.83,7.67,7.33,7.67,7.67,7.83,10.0,10.0,10.0,0.11,0,0,2
328,Arabica,South America,Colombia,2012-01-01,2013-11-22,Caturra,Green,Washed / Wet,7.75,7.75,7.58,7.83,7.17,7.75,10.0,10.0,10.0,0.11,0,0,1
329,Arabica,North America,Guatemala,2012-01-01,2013-08-23,Caturra,Green,Natural / Dry,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,0.11,0,0,1
330,Arabica,North America,Guatemala,2012-01-01,2013-07-09,Bourbon,Green,Washed / Wet,7.67,8.17,7.5,7.42,7.58,7.83,10.0,10.0,10.0,0.11,0,0,13
331,Arabica,North America,Mexico,2012-01-01,2013-07-02,Typica,Green,Washed / Wet,7.67,7.5,7.5,7.33,7.83,8.25,10.0,10.0,10.0,0.12,0,4,11
332,Arabica,Asia,Indonesia,2012-01-01,2013-05-23,Typica,Green,Washed / Wet,8.17,7.67,7.58,7.58,7.42,7.67,10.0,10.0,10.0,0.12,0,0,0
333,Arabica,North America,Guatemala,2012-01-01,2013-04-30,Caturra,Green,Washed / Wet,7.67,7.5,7.33,8.0,7.67,7.67,10.0,10.0,10.0,0.1,0,0,0
335,Arabica,South America,Brazil,2017-01-01,2018-10-20,Bourbon,Green,Natural / Dry,7.58,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,0.11,0,0,5
336,Arabica,North America,Guatemala,2016-01-01,2017-07-05,Caturra,Green,Washed / Wet,7.75,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,0.11,1,0,0
337,Arabica,South America,Colombia,2016-01-01,2017-04-15,Caturra,Green,Washed / Wet,7.75,7.75,7.58,7.58,7.67,7.58,10.0,10.0,10.0,0.11,0,0,4
338,Arabica,Asia,China,2015-01-01,2017-04-06,Catimor,Green,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,0.1,1,0,4
339,Arabica,South America,Colombia,2015-01-01,2016-11-18,Caturra,Green,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.58,10.0,10.0,10.0,0.12,0,0,3
340,Arabica,North America,Mexico,2014-01-01,2016-05-11,Caturra,Green,Washed / Wet,7.75,7.75,7.58,7.58,7.5,7.67,10.0,10.0,10.0,0.12,0,1,13
342,Arabica,Africa,Uganda,2013-01-01,2015-06-27,SL14,Green,Washed / Wet,7.67,7.67,7.42,7.75,7.75,7.67,10.0,10.0,10.0,0.12,0,0,5
343,Arabica,South America,Colombia,2014-01-01,2015-06-24,Caturra,Green,Natural / Dry,7.67,7.58,7.67,7.67,7.67,7.67,10.0,10.0,10.0,0.0,0,0,0
344,Arabica,South America,Colombia,2014-01-01,2015-03-13,Caturra,Green,Washed / Wet,7.67,7.58,7.67,7.58,7.67,7.75,10.0,10.0,10.0,0.12,0,0,1
346,Arabica,Asia,Taiwan,2013-01-01,2014-12-26,Typica,Green,Other,7.75,7.75,7.75,7.75,7.5,7.58,10.0,10.0,10.0,0.11,0,0,0
347,Arabica,South America,Colombia,2012-01-01,2013-08-31,Caturra,Green,Washed / Wet,7.67,7.67,7.58,7.67,7.75,7.58,10.0,10.0,10.0,0.11,0,0,3
349,Arabica,South America,Colombia,2012-01-01,2013-04-02,Caturra,Green,Natural / Dry,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,0.11,0,0,4
350,Arabica,South America,Brazil,2012-01-01,2013-01-22,Catuai,Blue-Green,Semi-washed / Semi-pulped,7.83,7.75,7.5,7.75,7.5,7.58,10.0,10.0,10.0,0.12,0,0,2
351,Arabica,South America,Colombia,2016-01-01,2018-02-20,Caturra,Bluish-Green,Washed / Wet,7.75,7.58,7.58,7.75,7.75,7.5,10.0,10.0,10.0,0.0,0,0,5
353,Arabica,North America,Costa Rica,2015-01-01,2017-06-06,Caturra,Blue-Green,Washed / Wet,7.92,7.42,7.5,7.67,7.5,7.67,10.0,10.0,10.0,0.0,0,0,0
354,Arabica,South America,Colombia,2016-01-01,2017-04-07,Caturra,Green,Natural / Dry,7.75,7.58,7.58,7.5,7.75,7.75,10.0,10.0,10.0,0.0,0,0,0
355,Arabica,North America,Guatemala,2016-01-01,2017-03-16,Bourbon,Bluish-Green,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,0.1,2,0,5
356,Arabica,South America,Colombia,2015-01-01,2016-11-18,Caturra,Green,Washed / Wet,7.58,7.58,7.58,7.58,7.75,7.67,10.0,10.0,10.0,0.12,0,0,4
357,Arabica,Africa,Tanzania,2015-01-01,2016-11-15,Ruiru 11,Green,Washed / Wet,7.75,7.67,7.58,7.67,7.67,7.58,10.0,10.0,10.0,0.13,0,0,21
358,Arabica,Asia,Indonesia,2015-01-01,2016-09-13,Sumatra,Bluish-Green,Semi-washed / Semi-pulped,7.25,7.67,7.58,7.92,7.83,7.58,10.0,10.0,10.0,0.13,0,0,8
361,Arabica,South America,Colombia,2014-01-01,2016-01-22,Caturra,Green,Washed / Wet,8.0,7.58,7.25,7.58,7.92,7.58,10.0,10.0,10.0,0.11,0,0,0
362,Arabica,North America,Guatemala,2013-01-01,2015-12-18,Caturra,Green,Washed / Wet,7.58,7.75,7.5,7.83,7.42,7.67,10.0,10.0,10.0,0.1,0,0,0
364,Arabica,North America,Honduras,2014-01-01,2015-04-08,Caturra,Green,Natural / Dry,7.67,7.5,7.67,7.5,7.67,7.67,10.0,10.0,10.0,0.1,0,0,3
365,Arabica,South America,Colombia,2013-01-01,2014-04-26,Caturra,Green,Washed / Wet,7.58,7.75,7.42,7.67,7.75,7.67,10.0,10.0,10.0,0.0,0,1,1
366,Arabica,South America,Colombia,2013-01-01,2014-05-24,Caturra,Green,Washed / Wet,7.58,7.67,7.58,7.75,7.58,7.75,10.0,10.0,10.0,0.11,0,0,2
367,Arabica,North America,Mexico,2012-01-01,2013-08-31,Bourbon,Green,Natural / Dry,7.83,7.58,7.25,7.5,7.5,7.42,10.0,10.0,10.0,0.13,0,0,14
368,Arabica,North America,Mexico,2012-01-01,2013-08-30,Typica,Green,Semi-washed / Semi-pulped,7.67,7.75,7.67,7.75,7.58,7.5,10.0,10.0,10.0,0.11,0,0,12
369,Arabica,North America,Mexico,2012-01-01,2013-07-11,Pacamara,Green,Washed / Wet,7.75,7.67,7.67,7.75,7.33,7.5,10.0,10.0,10.0,0.12,0,0,0
370,Arabica,North America,Guatemala,2012-01-01,2013-04-30,Caturra,Green,Washed / Wet,7.83,7.5,7.5,8.0,7.67,7.5,10.0,10.0,10.0,0.1,0,0,5
371,Arabica,South America,Colombia,2012-01-01,2013-02-08,Caturra,Green,Washed / Wet,7.67,7.58,7.58,7.67,7.67,7.67,10.0,10.0,10.0,0.11,0,0,0
372,Arabica,North America,Guatemala,2012-01-01,2013-01-31,Bourbon,Green,Washed / Wet,7.5,7.5,7.75,7.5,8.0,7.67,10.0,10.0,10.0,0.0,0,3,12
375,Arabica,South America,Colombia,2017-01-01,2018-11-09,Caturra,Green,Washed / Wet,7.5,7.58,7.58,7.5,7.75,7.83,10.0,10.0,10.0,0.0,2,0,1
376,Arabica,North America,Guatemala,2017-01-01,2018-08-23,Bourbon,Green,Washed / Wet,7.67,7.75,7.5,7.58,7.58,7.67,10.0,10.0,10.0,0.1,0,0,3
377,Arabica,South America,Colombia,2016-01-01,2018-05-10,Caturra,Green,Washed / Wet,7.67,7.67,7.5,7.67,7.67,7.58,10.0,10.0,10.0,0.11,0,0,2
378,Arabica,North America,Costa Rica,2016-01-01,2018-02-17,Caturra,Blue-Green,Washed / Wet,7.58,7.5,7.42,7.92,7.5,7.67,10.0,10.0,10.0,0.09,0,0,4
380,Arabica,Africa,Uganda,2015-01-01,2017-07-21,SL14,Green,Washed / Wet,7.58,7.75,7.33,7.75,7.67,7.58,10.0,10.0,10.0,0.11,0,0,1
381,Arabica,Asia,Thailand,2015-01-01,2017-06-27,Catimor,Bluish-Green,Washed / Wet,7.5,7.58,7.75,7.5,7.75,7.67,10.0,10.0,10.0,0.13,0,0,0
383,Arabica,South America,Colombia,2015-01-01,2016-04-28,Caturra,Green,Natural / Dry,7.58,7.67,7.58,7.67,7.58,7.67,10.0,10.0,10.0,0.12,0,4,0
384,Arabica,South America,Brazil,2014-01-01,2016-01-15,Yellow Bourbon,Green,Semi-washed / Semi-pulped,7.33,7.83,7.75,7.5,7.42,7.83,10.0,10.0,10.0,0.12,0,0,6
385,Arabica,Africa,Tanzania,2014-01-01,2015-12-12,Bourbon,Green,Washed / Wet,7.75,7.67,7.58,7.67,7.58,7.58,10.0,10.0,10.0,0.13,0,0,4
386,Arabica,South America,Colombia,2014-01-01,2015-10-15,Caturra,Green,Washed / Wet,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10.0,10.0,0.12,0,0,1
387,Arabica,North America,Guatemala,2013-01-01,2015-08-21,Bourbon,Green,Natural / Dry,7.75,7.83,7.33,7.83,7.5,7.67,10.0,10.0,10.0,0.1,0,0,1
388,Arabica,North America,Guatemala,2014-01-01,2015-02-18,Caturra,Green,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,0.1,0,0,2
389,Arabica,North America,Guatemala,2013-01-01,2014-07-16,Bourbon,Green,Washed / Wet,7.67,7.5,7.75,7.42,7.75,7.75,10.0,10.0,10.0,0.11,0,0,0
390,Arabica,North America,United States,2012-01-01,2014-01-24,Hawaiian Kona,Green,Natural / Dry,7.42,7.75,7.67,7.58,7.67,7.67,10.0,10.0,10.0,0.0,0,0,2
391,Arabica,South America,Colombia,2012-01-01,2013-06-26,Caturra,Green,Washed / Wet,7.5,7.75,7.58,7.5,7.67,7.75,10.0,10.0,10.0,0.11,0,0,2
397,Arabica,South America,Colombia,2016-01-01,2017-06-15,Caturra,Blue-Green,Washed / Wet,7.67,7.58,7.58,7.42,7.67,7.75,10.0,10.0,10.0,0.0,0,0,0
398,Arabica,South America,Colombia,2016-01-01,2017-05-05,Caturra,Green,Washed / Wet,7.83,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,0.0,0,1,2
399,Arabica,South America,Brazil,2015-01-01,2016-10-11,Catuai,Green,Semi-washed / Semi-pulped,7.5,7.83,7.33,7.58,7.58,7.92,10.0,10.0,10.0,0.1,0,1,5
400,Arabica,North America,Mexico,2014-01-01,2016-07-13,Caturra,Green,Washed / Wet,7.75,7.75,7.5,7.67,7.5,7.58,10.0,10.0,10.0,0.12,0,0,2
401,Arabica,South America,Colombia,2015-01-01,2016-04-07,Caturra,Green,Washed / Wet,7.67,7.75,7.42,7.83,7.83,7.42,10.0,10.0,10.0,0.11,0,0,1
402,Arabica,Africa,Tanzania,2014-01-01,2015-12-12,Other,Green,Semi-washed / Semi-pulped,7.75,7.58,7.67,7.58,7.58,7.58,10.0,10.0,10.0,0.12,0,0,6
403,Arabica,North America,Mexico,2013-01-01,2015-07-15,Other,Green,Washed / Wet,7.67,7.67,7.58,7.67,7.5,7.58,10.0,10.0,10.0,0.12,0,0,0
404,Arabica,North America,Costa Rica,2014-01-01,2015-04-07,Caturra,Green,Washed / Wet,7.67,7.67,7.42,7.67,7.67,7.67,10.0,10.0,10.0,0.12,0,0,3
405,Arabica,North America,United States,2014-01-01,2015-02-25,Hawaiian Kona,Bluish-Green,Natural / Dry,7.83,7.58,7.83,7.67,7.92,8.0,9.33,10.0,9.33,0.11,0,0,1
406,Arabica,North America,Costa Rica,2013-01-01,2015-02-14,Catuai,Green,Washed / Wet,7.5,7.67,7.67,7.5,7.83,7.17,10.0,10.0,10.0,0.11,0,0,3
408,Arabica,North America,Haiti,2012-01-01,2014-10-03,Typica,Green,Washed / Wet,7.58,7.5,7.67,7.5,7.83,7.42,10.0,10.0,10.0,0.11,0,0,4
409,Arabica,South America,Colombia,2013-01-01,2014-04-26,Caturra,Green,Natural / Dry,7.67,7.67,7.5,7.67,7.92,7.42,10.0,10.0,10.0,0.11,0,0,1
410,Arabica,North America,Guatemala,2013-01-01,2014-02-26,Bourbon,Green,Washed / Wet,7.83,7.67,7.17,7.67,7.67,7.67,10.0,10.0,10.0,0.11,0,0,3
411,Arabica,North America,United States,2012-01-01,2014-01-24,Hawaiian Kona,Bluish-Green,Natural / Dry,7.92,7.5,7.58,7.83,7.67,7.67,9.33,10.0,10.0,0.1,0,0,4
413,Arabica,South America,Colombia,2012-01-01,2013-05-30,Caturra,Green,Washed / Wet,7.5,7.67,7.67,7.58,7.67,7.58,10.0,10.0,10.0,0.0,0,0,1
416,Arabica,North America,Mexico,2017-01-01,2018-03-07,Typica,Blue-Green,Washed / Wet,7.67,7.83,7.42,7.83,7.33,7.5,10.0,10.0,10.0,0.11,0,0,0
417,Arabica,North America,Costa Rica,2016-01-01,2018-01-30,Catuai,Green,Pulped natural / honey,7.5,7.5,7.83,7.5,7.67,7.67,10.0,10.0,10.0,0.11,0,0,0
419,Arabica,North America,Guatemala,2016-01-01,2017-08-12,Pacas,Green,Washed / Wet,7.5,7.58,7.42,7.83,7.67,7.58,10.0,10.0,10.0,0.11,2,0,7
420,Arabica,Africa,Uganda,2015-01-01,2017-05-19,SL14,Green,Washed / Wet,7.5,7.67,7.67,7.42,7.67,7.67,10.0,10.0,10.0,0.12,0,0,1
422,Arabica,South America,Colombia,2015-01-01,2016-11-26,Caturra,Green,Natural / Dry,7.58,7.67,7.67,7.17,7.75,7.83,10.0,10.0,10.0,0.0,0,0,2
423,Arabica,North America,Mexico,2015-01-01,2016-07-13,Typica,Bluish-Green,Natural / Dry,7.83,7.75,7.5,7.58,7.58,7.58,10.0,10.0,10.0,0.12,0,0,2
424,Arabica,Asia,Taiwan,2015-01-01,2016-06-17,Bourbon,Blue-Green,Washed / Wet,7.67,7.5,7.5,7.5,7.67,7.83,10.0,10.0,10.0,0.1,0,0,0
425,Arabica,Asia,Taiwan,2014-01-01,2015-11-23,Typica,Green,Washed / Wet,7.92,7.83,7.75,7.58,7.5,7.33,10.0,10.0,10.0,0.1,0,0,0
426,Arabica,South America,Colombia,2014-01-01,2015-06-24,Caturra,Green,Natural / Dry,7.58,7.58,7.5,7.58,7.58,7.75,10.0,10.0,10.0,0.0,0,0,0
427,Arabica,North America,Guatemala,2014-01-01,2015-03-07,Caturra,Green,Washed / Wet,7.5,7.67,7.58,7.67,7.67,7.5,10.0,10.0,10.0,0.1,0,0,1
428,Arabica,South America,Colombia,2013-01-01,2014-08-02,Caturra,Green,Washed / Wet,7.83,7.5,7.67,7.33,7.67,7.67,10.0,10.0,10.0,0.11,0,0,1
429,Arabica,North America,Mexico,2013-01-01,2014-03-29,Bourbon,Green,Washed / Wet,7.58,7.75,7.5,7.5,7.58,7.58,10.0,10.0,10.0,0.12,0,0,6
430,Arabica,North America,United States,2012-01-01,2014-03-21,Hawaiian Kona,Bluish-Green,Natural / Dry,7.58,7.75,7.83,8.0,8.08,7.67,9.33,10.0,9.33,0.11,0,0,4
431,Arabica,North America,Mexico,2012-01-01,2013-08-01,Mundo Novo,Green,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,0.13,0,0,7
